Ref,Val,Package,PosX,PosY,Rot,Side
"C30","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",167.960000,-64.440000,0.000000,top
"C30","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",41.004466,-41.595534,180.000000,top
"C31","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",157.460000,-64.440000,0.000000,top
"C31","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",51.504466,-41.595534,180.000000,top
"C32","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",65.504466,-41.595534,180.000000,top
"C32","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",143.460000,-64.440000,0.000000,top
"C33","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",132.960000,-64.440000,0.000000,top
"C33","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",76.004466,-41.595534,180.000000,top
"C34","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",118.960000,-64.440000,0.000000,top
"C34","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",90.004466,-41.595534,180.000000,top
"C35","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",100.504466,-41.595534,180.000000,top
"C35","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",108.460000,-64.440000,0.000000,top
"J1","Conn_01x05","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",192.464466,-46.035534,180.000000,top
"J1","Conn_01x05","Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",16.500000,-60.000000,0.000000,top
"J2","Conn_01x06","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",36.820000,-60.000000,0.000000,top
"J2","Conn_01x06","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",172.144466,-46.035534,180.000000,top
"SW1","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",195.504466,12.904466,-90.000000,top
"SW1","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",13.460000,-118.940000,90.000000,top
"SW2","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",20.460000,-104.940000,90.000000,top
"SW2","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",188.504466,-1.095534,-90.000000,top
"SW3","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",181.504466,12.904466,-90.000000,top
"SW3","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",27.460000,-118.940000,90.000000,top
"SW4","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",174.504466,-1.095534,-90.000000,top
"SW4","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",34.460000,-104.940000,90.000000,top
"SW5","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",41.460000,-118.940000,90.000000,top
"SW5","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",167.504466,12.904466,-90.000000,top
"SW6","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",160.504466,-1.095534,-90.000000,top
"SW6","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",48.460000,-104.940000,90.000000,top
"SW7","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",55.460000,-118.940000,90.000000,top
"SW7","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",153.504466,12.904466,-90.000000,top
"SW8","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",69.460000,-118.940000,90.000000,top
"SW8","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",139.504466,12.904466,-90.000000,top
"SW9","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",76.460000,-104.940000,90.000000,top
